Organization Name,Organization Website,Location,Address Line 1,Address Line 2,Province,Postal Code,Phone Number,Grant Amount,Fiscal Year
Access Alliance,www.accessalliance.ca,Toronto,"340 College Street, Suite 500",,ON,M5T3A9,4163248677,"$32,500.00 ",2013/14
Association canadienne francaise de l'Ontario (ACFO) de London Sarnia,,London,495 Richmond Street,,ON,N6A5A9,5198502236,"$32,500.00 ",2013/14
Afghan Women's Counselling and Integration Community Support Organization,www.afghanwomen.org,Toronto,789 Don Mills Road Suite 700,,ON,M3C1T5,4165883585,"$76,990.00 ",2013/14
African Community Services of Peel,www. africancommunityservices.com,Brampton,20 Nelson Street West,Suite 302,ON,L6X2M5,9058288787,"$64,398.00 ",2013/14
Arab Community Centre of Toronto,www.arabcommunitycentre.com,Etobicoke,555 Burnhamthorpe Road Suite 209,,ON,M9C2Y3,4162317746,"$89,231.00 ",2013/14
AWIC Community and Social Services,www.awic.info,North York,1761 Sheppard Avenue East,,ON,M2J0A5,4164994144,"$43,500.00 ",2013/14
Black Coalition for AIDS Prevention (Black CAP),http://www.black-cap.com/,Toronto,20 Victoria Street,,ON,M5C2N8,4169779955,"$52,473.00 ",2013/14
Bloor Information and Life Skills Centre,http://www.bloorinfo.org/,Toronto,672 Dupont Street Suite 307,,ON,M6G1Z6,4165314613,"$36,069.00 ",2013/14
Brampton Multicultural Community Centre,www.bmccentre.org,Brampton,197 County Court Boulevard Suite 303,,ON,L6W4P6,9057908482,"$122,410.00 ",2013/14
Canadian Centre for Victims of Torture,www.ccvt.ca,Toronto,194 Jarvis Street 2nd Floor,,ON,M5B2B7,4163631066,"$100,222.00 ",2013/14
Canadian Ukrainian Immigrant Aid Society,www.cuias.org,Toronto,2383 Bloor Street West 2nd Floor,,ON,M6S1P6,4167674595,"$103,978.00 ",2013/14
Catholic Community Services of York Region,www.ccsyr.org,Richmond Hill,21 Dunlop Street,,ON,L4C2M6,9057707040,"$178,400.00 ",2013/14
Catholic Cross Cultural Services,www.crosscultural.org,Scarborough,55 Town Centre Court Unit 401,,ON,M1P4X4,4167577010,"$271,140.00 ",2013/14
Centre de sante communautaire Hamilton Niagara,www.centredesantecommunautaire.com,Hamilton,460 rue Main est,,ON,L3B3Y4,9057341141,"$40,000.00 ",2013/14
Centre for Immigrant and Community Services,www.cicscanada.com,Scarborough,2330 Midland Avenue,,ON,M1S5G5,4162927510,"$273,123.00 ",2013/14
Centre for Spanish Speaking Peoples,www.spanishservices.org,Toronto,"2141 Jane Street, 2nd Floor",,ON,M3M1A2,4165338545,"$103,581.00 ",2013/14
Centre francophone de Toronto,http://www.centrefranco.org/,Toronto,22 rue College étage principal,22 College Street Unit 1,ON,M5G1K2,4169222672,"$67,692.00 ",2013/14
Chelsea Green Children's Centre Inc.,https://chelseagreen.ca/,London,250 Thompson Road,,ON,N5Z1S9,5194334225,"$3,313.00 ",2013/14
